"jahr","straftat","anzahl"
"2011","Unwahre Angaben über kaufmännische Gewerbe (Art. 152)",0
"2011","Verletzung der Fürsorge-/Erziehungspflicht (Art. 219)",21
"2011","In Umlaufsetzen falschen Geldes (Art. 242)",18
"2011","Landfriedensbruch (Art. 260)",0
"2011","Störung des öffentlichen Verkehrs (Art. 237)",4
"2011","Gefährdung durch Verletzung der Regeln der Baukunde (Art. 229)",3
"2011","Störung des Eisenbahnverkehrs (Art. 238)",0
"2011","Urkundenfälschung im Amt (Art. 317)",1
"2011","Verletzung des Post-/Fernmeldegeheimnisses (Art. 321ter)",2
"2011","Warenfälschung (Art. 155)",1
"2011","Nachmachen von Banknoten, Münzen oder amtlichen Wertzeichen ohne Fälschungsabsicht (Art. 243)",0
"2011","Unrechtmässige Verwendung von Vermögenswerten (Art. 141bis)",0
"2011","Verletzung des Fabrikations- oder Geschäftsgeheimnisses (Art. 162)",3
"2011","Unbefugtes Aufnehmen von Gesprächen (Art. 179ter)",1
"2011","Unbefugtes Beschaffen von Personendaten (Art. 179novies)",1
"2011","Inzest (Art. 213)",0
"2011","Gefährdung durch Sprengstoffe + giftige Gase in verbrecherischer Absicht (Art. 224)",0
"2011","Geldfälschung (Art. 240)",17
"2011","Missachtung eines Tätigkeitsverbots oder eines Kontakt- + Rayonverbots - bis 2015 Übertretung eines Berufsverbotes (Art. 294)",0
"2011","Begünstigung (Art. 305)",3
"2011","Verletzung des Berufsgeheimnisses (Art. 321)",0
"2011","Ungehorsam dritter Personen im Betreibungs-, Konkurs- + Nachlassverfahren (Art. 324)",1
"2011","Vernachlässigung von Unterhaltspflichten (Art. 217)",3
"2011","Unterlassung der Nothilfe (Art. 128)",0
"2011","Ausnützung der Notlage (Art. 193)",0
"2011","Verweisungsbruch (Art. 291)",1
"2011","Check- + Kreditkartenmissbrauch (Art. 148)",2
"2011","Unterdrückung von Urkunden (Art. 254)",0
"2011","Diskriminierung + Aufruf zu Hass - bis 2020 Rassendiskriminierung (Art. 261bis)",1
"2011","Unbefugtes Tragen der militärischen Uniform (Art. 331)",0
"2011","Verleitung/Beihilfe zum Selbstmord (Art. 115)",0
"2011","Aussetzung (Art. 127)",0
"2011","Unrechtmässige Entziehung von Energie (Art. 142)",1
"2011","Wucher (Art. 157)",1
"2011","Missbrauch von Lohnabzügen (Art. 159)",0
"2011","Bevorzugung eines Gläubigers (Art. 167)",0
"2011","Abhören + Aufnehmen fremder Gespräche (Art. 179bis)",0
"2011","Erschwerende Umstände (Art. 184)",0
"2011","Geiselnahme (Art. 185)",0
"2011","Sexuelle Handlungen mit Abhängigen (Art. 188)",0
"2011","Förderung der Prostitution (Art. 195)",0
"2011","Entziehen von Minderjährigen (Art. 220)",0
"2011","Verursachung einer Explosion (Art. 223)",0
"2011","Verursachen Überschwemmung/Einsturz (Art. 227)",0
"2011","Beseitigung/Nichtanbringung von Sicherheitsvorrichtungen (Art. 230)",0
"2011","Verbreiten menschlicher Krankheiten (Art. 231)",0
"2011","Verunreinigung von Trinkwasser (Art. 234)",0
"2011","Einführen, Erwerben, Lagern falschen Geldes (Art. 244)",0
"2011","Fälschung amtlicher Wertzeichen (Art. 245)",0
"2011","Öffentliche Aufforderung zu Verbrechen oder zur Gewalttätigkeit (Art. 259)",2
"2011","Strafbare Vorbereitungshandlungen (260bis)",1
"2011","Kriminelle + terroristische Organisationen - bis 2021 Kriminelle Organisation (Art. 260ter)",2
"2011","Gefährdung der öffentlichen Sicherheit mit Waffen (Art. 260quater)",0
"2011","Angriffe auf die verfassungsmässige Ordnung (Art. 275)",0
"2011","Störung des Militärdienstes (Art. 278)",0
"2011","Störung/Hinderung von Wahlen/Abstimmungen (Art. 279)",0
"2011","Wahlfälschung (Art. 282)",0
"2011","Bruch amtlicher Beschlagnahme (Art. 289)",1
"2011","Siegelbruch (Art. 290)",0
"2011","Mangelnde Sorgfalt bei Finanzgeschäften + Melderecht (Art. 305ter)",1
"2011","Falsche Beweisaussage der Partei (Art. 306)",1
"2011","Falsches Zeugnis/Gutachten/falsche Übersetzung (Art. 307)",1
"2011","Befreiung von Gefangenen (Art. 310)",1
"2011","Amtsmissbrauch (Art. 312)",0
"2011","Ungetreue Amtsführung (Art. 314)",0
"2011","Entweichenlassen von Gefangenen (Art. 319)",0
"2011","Verletzung des Amtsgeheimnisses (Art. 320)",1
"2011","Passive Bestechung schweizerischer Amtsträger (Art. 322quater)",0
"2011","Vorteilsannahme (Art. 322sexies)",0
"2011","Übertretung firmen- + namensrechtlicher Bestimmungen (Art. 326ter)",0
"2012","Fahrzeugdiebstahl (Art. 139)",801
"2012","Betrug (Art. 146)",135
"2012","Hausfriedensbruch + Diebstahl (Art. 186)",690
"2012","Diebstahl (Art. 139)",738
"2012","Sachbeschädigung + Diebstahl (Art. 144)",652
"2012","Einbruchdiebstahl (Art. 139)",557
"2012","Sachbeschädigung (Art. 144)",452
"2012","Ladendiebstahl (Art. 139)",216
"2012","Betrügerischer Missbrauch einer Datenverarbeitungsanlage (Art. 147)",80
"2012","Tätlichkeiten (Art. 126)",151
"2012","Unbefugte Datenbeschaffung (Art. 143)",76
"2012","Diebstahl ab/aus Fahrzeug (Art. 139)",80
